time,temperature_2m (°C),precipitation (mm),rain (mm),cloudcover (%),cloudcover_low (%),cloudcover_mid (%),cloudcover_high (%),windspeed_10m (km/h),winddirection_10m (°),rain_moving_avg
2020-01-23,0.48333333333333334,0.0,0.0,24.166666666666668,0.0,0.0,80.625,6.358333333333333,239.58333333333334,0.00833333333333324
2020-01-24,3.1791666666666667,0.0,0.0,29.458333333333332,0.08333333333333333,11.916666666666666,74.08333333333333,6.3875,177.29166666666666,0.00833333333333324
2020-01-25,5.295833333333333,1.0875000000000001,1.0875000000000001,71.33333333333333,61.083333333333336,37.75,73.91666666666667,17.541666666666668,84.125,0.1636904761904761
2020-01-26,5.0625,0.0,0.0,40.666666666666664,35.333333333333336,16.666666666666668,3.2083333333333335,12.504166666666668,263.9583333333333,0.15535714285714278
2020-01-27,4.333333333333333,0.0,0.0,45.916666666666664,22.0,47.416666666666664,2.6666666666666665,13.283333333333333,257.5416666666667,0.15535714285714278
2020-01-28,4.154166666666667,0.0,0.0,52.291666666666664,47.875,15.583333333333334,0.0,13.016666666666666,297.7083333333333,0.15535714285714278
2020-01-29,2.5083333333333333,0.0,0.0,25.791666666666668,24.875,5.791666666666667,0.0,11.299999999999999,325.7083333333333,0.15535714285714278
2020-01-30,-1.125,0.0,0.0,11.041666666666666,1.0833333333333333,0.3333333333333333,32.958333333333336,8.3125,133.16666666666666,0.15535714285714278
2020-01-31,1.1333333333333333,0.0,0.0,87.20833333333333,68.125,35.5,63.25,5.266666666666667,81.20833333333333,0.15535714285714278
2020-02-01,3.091666666666667,0.029166666666666664,0.029166666666666664,82.0,69.20833333333333,56.458333333333336,63.916666666666664,4.616666666666666,191.70833333333334,0.004166666666666571
2020-02-02,3.1750000000000003,0.05416666666666667,0.04583333333333334,90.29166666666667,54.541666666666664,77.79166666666667,42.25,7.704166666666667,264.25,0.010714285714285619
2020-02-03,5.0249999999999995,0.008333333333333333,0.008333333333333333,37.625,22.375,31.583333333333332,2.3333333333333335,9.291666666666666,250.125,0.011904761904761809
2020-02-04,6.345833333333334,0.0375,0.0375,66.70833333333333,1.9166666666666667,65.625,86.41666666666667,7.05,167.08333333333334,0.017261904761904666
2020-02-05,6.333333333333333,0.09999999999999999,0.09999999999999999,98.91666666666667,82.125,98.45833333333333,86.04166666666667,8.495833333333334,224.45833333333334,0.03154761904761895
2020-02-06,3.8041666666666667,0.45416666666666666,0.45416666666666666,100.0,98.79166666666667,91.16666666666667,99.875,8.200000000000001,63.75,0.09642857142857134
2020-02-07,5.245833333333333,0.7833333333333333,0.7833333333333333,90.45833333333333,84.66666666666667,76.375,57.958333333333336,15.283333333333333,131.25,0.20833333333333323
2020-02-08,1.6666666666666667,0.0,0.0,37.166666666666664,30.25,20.916666666666668,0.0,17.541666666666668,273.4166666666667,0.20416666666666658
2020-02-09,1.375,0.004166666666666667,0.004166666666666667,56.041666666666664,29.916666666666668,46.916666666666664,4.166666666666667,6.545833333333333,117.33333333333333,0.19821428571428562
2020-02-10,5.541666666666667,0.3416666666666666,0.3416666666666666,92.79166666666667,49.291666666666664,91.16666666666667,97.5,13.816666666666668,209.20833333333334,0.2458333333333332
2020-02-11,6.541666666666667,0.48333333333333334,0.48333333333333334,100.0,98.875,96.79166666666667,85.0,5.1125,179.875,0.3095238095238094
2020-02-12,5.529166666666666,0.0,0.0,52.083333333333336,4.041666666666667,39.75,87.33333333333333,10.479166666666666,272.4583333333333,0.2952380952380951
